University Title Aissms	City	Country	Teaching Kotlin			
East Carolina University	Greenville, NC	US	Mobile Development			
Eastern Mediterranean University	Famagusta	Northern Cyprus	ITEC399 – Mobile Application Development			
École Polytechnique Fédérale de Lausanne (EPFL)	Lausanne	Switzerland	Lab on app development for tablets and smartphones			
ENET'Com Sfax - École Nationale d'Électronique et des Télécommunications de Sfax	Sfax	Tunisia	Android Development with Kotlin			
European Humanities University	Vilnius	Lithuania	Basics of Mobile Development			
Federal University of Minas Gerais	Belo Horizonte	Brazil	PROGRAM ANALYSIS AND OPTIMIZATION – DCC888			
Federal University of Piauí	Teresina	Brazil	APIs de Desenvolvimento para Dispositivos Móveis			
Federal University of Technology – Paraná	Curitiba	Brazil	CURSO DE ESPECIALIZAÇÃO EM PROGRAMAÇÃO PARA DISPOSITIVOS MÓVEIS			
Federation University Australia	Ballarat	Australia	Mobile Development Fundamentals (ITECH2000)			
FH Joanneum	Graz	Austria	Mobile Software Development			
Flensburg University of Applied Sciences	Flensburg	Germany	Web / mobile technologies			
Flinders University	Adelaide	Australia	COMP2012 Mobile Application Development			
Florida Institute of Technology	Melbourne, FL	US	CSE 4250 Programming Language Concepts			
Free University of Bozen-Bolzano	Bolzano	Italy	Mobile and Physical Systems			
Galgotias University	Greater Noida	India	Android App Development Using Kotlin			
George Brown College	Toronto	Canada	Mobile Application Development and Strategy Program (Postgraduate) T440			
George Mason University	Fairfax, VA	US	SWE 642 Software Engineering for the World Wide Web			
George Washington University	Washington, D.C.	US	CSCI 6116. Advanced Application Development			
Georgia Institute of Technology (Georgia Tech)	Atlanta, GA	US	Mastering Android Development			
GIET University	Gunupur	India	Android App Development Using Kotlin			
Goa University	Taleigao	India	CSA-606 Mobile App Development			
Grand View University in Des Moines	Des Moines, IA	US	CPSC 242 Computer Science II			
Griffith University	Brisbane	Australia	3701ICT Mobile Application Development			
Gujarat Technological University	Ahmedabad	India	Mobile Computing using Android			
Gustavus Adolphus College	Saint Peter, MN	US	MCS 178: Introduction to Computer Science II			
Hanoi University of Science and Technology	Hanoi	Vietnam	IT4785 Programming for Mobile Devices			
Harvard University	Cambridge, MA	US	CS50x Introduction to Computer Science			
Hasanuddin University	Makassar	Indonesia	Kotlin Language for Java Developers			
Hasselt University	Hasselt	Belgium	App Development			
Hebrew University of Jerusalem	Jerusalem	Israel	Workshop in Modern Application Development (67503)			
Heidelberg University	Heidelberg	Germany	Einfuhrung in die Programmierung mit Kotlin			
Heriot-Watt University	Edinburgh	UK	Android development			
Hofstra University	Hempstead, NY	US	CSC123/252: Programming Languages			
Hong Kong Polytechnic University	Hong Kong	China	EIE3109 Mobile Systems and Application Development			
HSE University - Higher School of Economics	Moscow	Russia	Язык Kotlin			
I. K. Gujral Punjab Technical University	Kapurthala	India	Android Development with Kotlin			
IES Luis Vives	Madrid	Spain	Programming. 1º Degree of Development of Multiplatform Applications			
Ilia State University	Tbilisi	Georgia	Mobile Programming in Kotlin			
Illinois Institute of Technology - Illinois Tech	Chicago, IL	US	CS425 - Database Organization			
Imperial College London	London	UK	40009 Computing Practical 1			
IMT Atlantique	‎Brest‎, ‎Nantes‎ and ‎Rennes	France	Introduction au développement Android			
Indiana University	Bloomington, IN	US	Programming			
Indraprastha Institute of Information Technology Delhi	New Delhi	India	Mobile Computing			
Institut Tecnològic de Barcelona	Barcelona	Spain	M03 - Programming  			
Instituto Federal de Santa Catarina (IFSC)	Sao Jose	Brazil	MOV786205 - Programação para Aplicativos Móveis			
Instituto Superior de Engenharia de Lisboa - Lisbon Superior Engineering Institute (ISEL) - Engineering School of the Lisbon Polytechnic Institute	Lisbon	Portugal	PROGRAMMING-LEIC			
Iowa State University	Ames, IA	US	COM S 430: CONCURRENT PROGRAMMING IN PRACTICE			
IPB University	Bogor	Indonesia	Mobile apps development			
Iran University of Science and Technology	Tehran	Iran	Fundamentals of Computer Programming			
Irkutsk National Research Technical University	Irkutsk	Russia	Мобильная разработка на Kotlin			
Irkutsk State University	Irkutsk	Russia	Б1.В.ДВ.05.01 Программирование для дизайнеров			
ISCTE-University Institute of Lisbon	Lisbon	Portugal	Advanced Programming			
Istanbul Aydın University	Istanbul	Turkey	UYG201  Kotlin Android Uygulama Geliştirme			
Istanbul Medipol University	Istanbul	Turkey	BPR1213184 KOTLIN PROGRAMMING			
ITMO University	Saint Petersburg	Russia	Основы программирования на языке Kotlin			
Ivy Tech Community College	Indianapolis, IN	US	SDEV 264 - Mobile Application Development			
Jagiellonian University	Krakow	Poland	Programowanie urządzeń mobilnych – Android			
Jawaharlal Nehru Technological University Anantapur (JNTUA)	Anantapur	India	(20A35601P) MOBILE APPLICATION DEVELOPMENT FOR IOT			
Johannes Gutenberg University of Mainz	Mainz	Germany	08.079.10070 Mobile Computing und Web Entwicklung			
Johannes Kepler University of Linz	Linz	Austria	Programming in Kotlin			
Johns Hopkins University	Baltimore, MD	US	605.603 - Object-Oriented and Functional Programming in Kotlin			
Jordan University of Science and Technology	Irbid	Jordan	Mobile Phones Apps Development Using Android-Kotlin Language			
Kanazawa University	Kanazawa	Japan	Introduction to smartphone application development			
Kasetsart University	Bangkok	Thailand	01219244, Software Specification and Design Laboratory			
Kazan Federal University	Kazan	Russia	Методы программирования мобильных приложений (Kotlin+Java)			
KAZGUU University Higher School of Economics	Astana	Kazakhstan	Mobile Development			
Kharkiv Aviation Institute	Kharkiv	Ukraine	Програмування під Android та iOS			
Kharkiv National University of Radio Electronics - NURE	Kharkiv	Ukraine	Високорівневі мови програмування та фреймворки			
King Saud University	Riyadh	Saudi Arabia	IS324: Modern Application Development			
King’s College London - King's College London	London	UK	6CCS3CFL Compilers And Formal Languages			
Knyagininsky Universitet	Knyaginino	Russia	Разработка мобильных приложений			
Kristiania University College	Oslo	Norway	Enterpriseprogrammering 2 (PG6101)			
KTH Royal Institute of Technology	Stockholm	Sweden	ID2216 Developing Mobile Applications			
KU Leuven	Leuven	Belgium	App Development			
Lakehead University	Thunder Bay	Canada	COMP 4411 Programming Languages			
Laval University	Quebec	Canada	GIF-3101 Informatique mobile et applications			
Leiden University	Leiden	Netherlands	Concepts of Programming Languages			
Linköping University	Linkoping	Sweden	TDDC73 Interaction Programming			
LMU Munich	Munich	Germany	Master-Praktikum: Mobile Application Development			
Lodz University of Technology	Lodz	Poland	Mobile Systems			
Lomonosov Moscow State University - MSU	Moscow	Russia	Программирование на языке Котлин			
Lovely Professional University	Phagwara	India	CSE 224 Fundamentals of Android			
Lovely Professional University	Phagwara	India	CSE 224 Fundamentals of Android			
Lucian Blaga University of Sibiu	Sibiu	Romania	Informatica mobila			
Lund University	Lund	Sweden	EDAN55 Advanced Algorithms			
Lusófona University - Lusophone University of Humanities and Technologies	Lisbon	Portugal	Computação Móvel			
LUT University - Lappeenranta-Lahti University of Technology LUT	Lappeenranta	Finland	CT70A9800 Full Stack Development			
Lviv Polytechnic National University	Lviv	Ukraine	Programming for Mobile Platforms			
Lycée Gustave Eiffel	Bordeaux	France	Android development			
Mahidol University	Salaya	Thailand	EGCI 428 Mobile Device Programming			
Malmö Yrkeshögskola	Malmo	Sweden	PROGRAMMERARE IPHONE OCH ANDROID			
Manav Rachna International Institute of Research and Studies - MRIIRS	Faridabad	India	BCS-DS-577: Kotlin			
Manav Rachna International Institute of Research and Studies - MRIIRS	Faridabad	India	BCS-DS-577: Kotlin			
Manav Rachna University	Faridabad	India	Mobile Computing with Android (CSH319) T & P			
Manchester Metropolitan University	Manchester	UK	Android Development Essential Training: Your First App with Kotlin			
Marche Polytechnic University	Ancona	Italy	[W001053] - PROGRAMMAZIONE MOBILE			
Marwadi University	Rajkot	India	01CT0713 Programming with Application Development (Android)			
Masaryk University	Brno	Czech Republic	PV256 Introduction to Development for Android			
McGill University	Montreal	Canada	BIEN 470: Bioengineering Design Projects			
McMaster University	Hamilton	Canada	Computer Science 3MI3 - Principles of Programming Languages			
Michigan State University	East Lansing, MI	US	CSE 498 Collaborative Design			
Minneapolis College	Minneapolis, MN	US	ITEC 2417 - Android Mobile Programming			
MIREA - Russian Technological University	Moscow	Russia	Разработка мобильных приложений			
Missouri University of Science and Technology	Rolla, MO	US	Mobile App Development (CR-CP-002)			
Monash University	Melbourne	Australia	FIT2081 – Mobile Application Development (Kotlin/Android)			
Montana State University	Bozeman, MT	US	CSCI 494-002 Industry Methods			
Monterrey Institute of Technology and Higher Education - Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM)	Monterrey	Mexico	Android Software developer			
Montgomery College	Germantown, MD	US	CMSC234 Mobile Game & App Programming			
Montpellier University	Montpellier	France	Développement mobile			
Moscow Institute of Physics and Technology	Moscow	Russia	Введение в научное программирование на языке Kotlin			
Mustansiriyah University	Baghdad	Iraq	Mobile Development Introduction to Android			
Nantes Université - University of Nantes	Nantes	France	Développement Orienté Objet			
Nanyang Technological University	Singapore	Singapore	CANdroid® -Apps development for newbies			
National Autonomous University of Mexico	Mexico City	Mexico	Introducción a la programación con Kotlin			
National Cheng Kung University (NCKU)	Tainan	Taiwan	雲端行動應用 - CLOUD AND MOBILE APPLICATIONS			
National Institute of Technology Srinagar	Srinagar	India	Android Application Development - Kotlin			
National Polytechnic University (IPN)	Mexico City	Mexico	Mobile Applications			
National Research Nuclear University MEPhI	Moscow	Russia	Kotlin FullStack Developer			
National Sun Yat-Sen University	Kaohsiung	Taiwan	DECISION SUPPORT SYSTEMS PROJECT (II)			
National Taipei University of Technology	Taipei	Taiwan	354848 Mobile Phone Programming			
National Technical University Kharkiv Polytechnic Institute	Kharkiv	Ukraine	Мова програмування Kotlin			
National University of La Matanza - Universidad Nacional de La Matanza	Buenos Aires	Argentina	Tecnicatura en Desarrollo de Aplicaciones Móviles			
National University of Science and Technology (MISiS)	Moscow	Russia	Программирование на Kotlin			
National University of Science and Technology Politehnica Bucharest	Bucharest	Romania	Object Oriented Programming			
National University of Singapore	Singapore	Singapore	CS2030S Programming Methodology II			
National University of the South	Bahia Blanca	Argentina	Introducción a Kotlin			
National Yang Ming Chiao Tung University	Hsinchu	Taiwan	Android程式設計 (使用 Kotlin			
New Jersey Institute of Technology	Newark, NJ	US	CS 388: Android Application Development			
New York University	New York, NY	US	Mobile Application Development (DM-UY 4193)			
NIE Institute of Technology - The National Institute of Engineering	Mysuru	India	18CSMP68 - Jetpack Compose for Android Developers			
Nizhny Novgorod State Technical University	Nizhny Novgorod	Russia	Разработка приложений на Kotlin			
North South University	Dhaka	Bangladesh	CSE 499 Project/Internship/Special Laboratory Project			
North-Eastern Federal University	Yakutsk	Russia	Б1.В.ДВ.05.02 Разработка мобильных приложений			
Northeastern University - USA	Boston, MA	US	CS2500 Fundamentals of Computer Science			
Northern (Arctic) Federal University named after M.V. Lomonosov	Arkhangelsk	Russia	Практическое использование Kotlin в Android-разработке			
Northern Michigan University	Marquette, MI	USA	CS 345-01-23W: Android Programming			
Northwestern University	Evanston, IL	US	Hello Kotlin: Android Bootcamp with App Factory			
Norwegian University of Science and Technology	Trondheim	Norway	PROG2006 - Advanced Programming			
Novosibirsk State University	Novosibirsk	Russia	Разработка Android приложений на Java и Kotlin			
Oakland University	Rochester, MI	US	Cross Platform Mobile and Cloud Development			
Obafemi Awolowo University	Ife	Nigeria	Kotlin Language for Java Developers			
Oklahoma State University	Stillwater, OK	US	CS4153: Mobile Applications Development			
Old Dominion University	Norfolk, VA	US	CS 410 Professional Workforce Development			
Omsk State Technical University (OmSTU)	Omsk	Russia	Разработка мобильных приложений для Android			
Omsk State University	Omsk	Russia	Технологии разработки программного обеспечения			
Ontario Tech University (University of Ontario Institute of Technology)	Oshawa	Canada	CSCI 4020U Compilers			
Open University of Catalonia	Barcelona	Spain	Mobile app development        			
Oregon State University	Corvallis, OR	US	CS 492: Mobile Software Development			
Ostbayerische Technische Hochschule Regensburg (OTH Regensburg)	Regensburg	Germany	Android Programming with Kotlin (KAPK)			
Palacký University Olomouc	Olomouc	Czech Republic	Tvorba mobilních aplikací			
Paris Sciences et Lettres – PSL Research University	Paris	France	MobApp – Introduction `a React Native			
Pavol Jozef Šafárik University in Košice	Kosice	Slovakia	ÚINF/VMA1/21 - Vývoj mobilných aplikácií			
Pedagogical and Technological University of Colombia	Tunja	Colombia	Programación Android con Kotlin			
Perm State University	Perm	Russia	Разработка приложений для Android (начальный уровень)			
Peter the Great St Petersburg Polytechnic University	Saint Petersburg	Russia	Введение в язык Котлин			
Pohang University of Science and Technology (POSTECH)	Pohang	South Korea	Mobile & Ubiquitous Computing (CSED490D-01)			
Politehnica University Timisoara	Timișoara	Romania	Mobile Systems and Applications			
Polytechnic University of Catalonia - Universitat Politècnica de Catalunya - UPC	Barcelona	Spain	Programación de Teléfonos y Dispositivos Móviles Autónomos			
Polytechnic University of Milan - Politecnico di Milano	Milan	Italy	Sviluppo Android E Reti 5g			
Polytechnic University of Timişoara	Timisoara	Romania	Android (Kotlin)			
Polytechnic University of Turin	Turin	Italy	Mobile application development			
Polytechnic University of Valencia	Valencia	Spain	Programación en Android			
Pontifical Catholic University of Chile	Santiago	Chile	Desarrollo de aplicaciones móviles			
Pontifical Catholic University of Minas Gerais	Belo Horizonte	Brazil	Desenvolvimento Mobile			
Pontifical Catholic University of Paraná	Curitiba	Brazil	Desenvolvimento de Aplicativos Móveis			
Pontificia Universidad Católica de Chile	Santiago	Chile	Desarrollo de aplicaciones móviles			
Portland State University	Portland, OR	US	CS 430P/530: Internet, Web, & Cloud Systems			
Poznań University of Technology	Poznan	Poland	Mobile Application Development with AI Elements [S2SI1E>PAM]			
Purdue University West Lafayette	West Lafayette, IN	US	CS 353: Principles of Concurrency and Parallelism			
Qatar University	Doha	Qatar	Senior projects			
Queen’s University	Kingston	Canada	ELEC 498: Computer Engineering Project			
Reichman University	Herzliya	Israel	3695 Native Android Development with Kotlin			
REVA University	Bangalore	India	Android Application Development using Kotlin			
Rice University	Houston, TX	US	COMP 322: Fundamentals of Parallel Programming			
RIT Kosovo	Pristina	Kosovo	KODE Project 			
Rose-Hulman Institute of Technology	Terre Haute, IN	US	CSSE 483: Android Application Development			
Rutgers University - Rutgers, the State University of New Jersey	New Brunswick, Newark, Camden, NJ	US	16:137:537 Mobile App Development from Concept to Market 			
Sabancı University	Istanbul	Turkey	IT 535 Wireless and Mobile Programming			
Saint Petersburg Electrotechnical University (LETI)	Saint Petersburg	Russia	Программирование на языке Kotlin			
Saint Petersburg State University	Saint Petersburg	Russia	Основы технологий распределенных реестров			
Samara University	Samara	Russia	Технологии и инструментальные средства разработки программного обеспечения для мобильных устройств			
San Diego State University	San Diego, CA	US	CS 635 Advanced Object-Oriented Design & Programming			
Sapienza University of Rome	Rome	Italy	1044415 - MOBILE APPLICATIONS AND CLOUD COMPUTING			
Satbayev University	Almaty	Kazakhstan	CSE1792 Мобильные технологии Android			
Savitribai Phule Pune University	Pune	India	CDS-242 Web and Mobile Application			
Sharif University of Technology	Tehran	Iran	CE-429: Android Development			
Shivaji University	Kolhapur	India	Android Development with Kotlin			
Silesian University of Technology	Gliwice	Poland	Inżynieria aplikacji mobilnych i baz danych			
Silpakorn University	Bangkok	Thailand	Digital Technology for Designing Interactive Applications			
Simon Fraser University	Burnaby	Canada	CMPT 415 Special Research Projects			
Sivas Cumhuriyet University	Sivas	Turkey	Mobile Programming			
Srinakharinwirot University	Bangkok	Thailand	Android Basics with Kotlin			
SRM Institute of Science and Technology	Chennai	India	Mobile Application Development			
Staffordshire University	Stoke-on-Trent	UK	MOBILE APP DEVELOPMENT COMP50011			
Stanford University	Stanford, CA	US	CS194A: Android Programming Workshop			
Stellenbosch University	Stellenbosch	South Africa	Computer Science 771: Honors Project			
Stockholm University	Stockholm	Sweden	IB916N Programmering för mobiler			
Sungkyunkwan University (SKKU)	Seoul	South Korea	Programming Language & Compiler			
Suresh Gyan Vihar University	Jaipur	India	CA 216 Android Development (Java/Kotlin)			
Swansea University	Swansea	UK	CSC306 - Writing Mobile Apps			
Swarrnim Startup & Innovation University	Bhoyan Rathod	India	Advance Mobile App Development			
Swinburne University of Technology	Melbourne	Australia	COS 30017 Software Development for Mobile Devices			
TalTech IT College	Tallinn	Estonia	Native Mobile Applications			
Technical University of Cluj-Napoca	Cluj-Napoca	Romania	Comunicații Mobile			
Technical University of Darmstadt	Darmstadt	Germany	Projektseminar Softwaresysteme			
Technical University of Denmark	Lyngby	Denmark	Advanced Mobile Application Development			
Technical University of Košice	Kosice	Slovakia	Úvod do vývoja aplikácií pre chytré zariadenia			
Technical University of Madrid	Madrid	Spain	Mobile App Development (615001061)			
Technical University of Munich	Munich	Germany	Bachelor's Practical course - Kotlin (IN0012)			
Technion Israel Institute of Technology	Haifa	Israel	02360351 Distributed Systems			
Technological University Dublin	Dublin	Ireland	Computing with Software Development			
Teknologisk Institut	Taastrup	Denmark	Kotlin Development			
Tel Aviv University	Tel Aviv	Israel	Concepts in Programming Languages			
Télécom SudParis	Paris	France	Développement mobile et Intelligence Artificielle			
Telkom University	Bandung	Indonesia	Mobile Application Development			
Temple University	Philadelphia, PA	US	CIS 3296 Software Design			
Texas A&M University	College Station, TX	US	ECEN 489: Mobile Applications with Android			
Texas Tech University	Lubbock, TX	US	Android Developer			
TH Köln	Cologne	Germany	Algorithmen und Programmierung II			
Thammasat University	Bangkok	Thailand	Basic Android Application Development			
Thapar University	Patiala	India	Experiential Learning (EL)			
The Chinese University of Hong Kong	Hong Kong	China	CSCI3100 - Software Engineering			
The Hong Kong University of Science and Technology	Hong Kong	China	ISOM3000G Mobile Applications Development for Business			
The Ohio State University	Columbus, OH	US	CSE 5236: Mobile Application Development			
The University of Aizu	Aizuwakamatsu	Japan	Android Programming with Kotlin online from OTH Regensburg			
The University of Chicago	Chicago, IL	US	MPCS 51132. Full Stack Software Engineering			
The University of Jordan	Amman	Jordan	Android Kotlin Development Fundamentals			
The University of the Antilles - Université des Antilles	Schoelcher	Martinique	Licence Professionnelle Métiers de l'informatique - Informatique Embarquée et Mobile			
The University of Tokyo	Tokyo	Japan	ソフトウェアII 第7回			
Tokyo University of Science	Tokyo	Japan	Introduction to multilingual programming for AI and IoT utilization			
Tomsk Polytechnic University	Tomsk	Russia	Разработка программного обеспечения для ОС Android / 2020			
Tomsk State University	Tomsk	Russia	Разработчик мобильных приложений на платформе Android			
TU Braunschweig	Braunschweig	Germany	Programming Languages - Concepts and Applications			
TU Dortmund University	Dortmund	Germany	Automated Detection of Software Vulnerabilities via Static Program Analysis			
TU Dresden	Dresden	Germany	FRaMED - Development Of Graphical Editor Product Lines			
Tunghai University	Taichung	Taiwan	Mobile Device Development and Applications			
UiT The Arctic University of Norway - University of Tromso	Tromso	Norway	DTE-2603 Programmering for mobil			
Ulm University	Ulm	Germany	Parallele Programmierung			
Umeå University	Umea	Sweden	Utveckling av mobila applikationer			
Universidad de La Sabana - University of La Sabana	Chia	Colombia	PROGRAMACIÓN ANDROID CON KOTLIN Y JAVA			
Universidad de La Sabana - University of La Sabana	Chia	Colombia	PROGRAMACIÓN ANDROID CON KOTLIN Y JAVA			
Universidad Ean	Bogotá	Colombia	Desarrollo Móvil			
Universidad Peruana de Ciencias Aplicadas (UPC)	Santiago de Surco	Peru	CC238, Aplicaciones para Dispositivos Móviles			
Universidad Politécnica de Madrid	Madrid	Spain	615001061 - Mobile App Development			
Universidad Rey Juan Carlos	Madrid	Spain	Laboratorio de Sistemas Móviles y Ubicuos			
Universidad Tecnológica de Puebla (UTP)	Puebla	Mexico	Mobile Application Development			
Universidad Tecnológica Nacional (UTN)	Buenos Aires	Argentina	Introducción a la programación en Android con Kotlin			
Università del Piemonte Orientale - UPO	Alessandria	Italy	Applicazioni mobili			
Università della Svizzera Italiana	Lugano	Switzerland	Engineering of Domain Specific Languages			
Universitas Lambung Mangkurat	Banjarmasin	Indonesia	Mobile Programming			
Université Gustave Eiffel	Paris	France	OUAP-4331 Android development for Smartphones with Kotlin			
Université Libre de Bruxelles	Brussels	Belgium	INFO-H2001 Programmation orientée objet			
Université Paris-Saclay (Paris-Sud University)	Paris	France	INFORMATIQUE ET INGÉNIERIE MATHÉMATIQUE			
Université Saint-Joseph de Beyrouth	Beirut	Lebanon	Programmation Android			
Universiti Malaysia Sarawak (UNIMAS)	Kota Samarahan	Malaysia	Samarahan App Challenge 3.0			
Universiti Teknikal Malaysia Melaka	Malacca	Malaysia	MSMD 5113 Native Mobile Development I			
University Centre Peterborough	Peterborough	UK	Mobile app development with Kotlin			
University College Cork	Cork	Ireland	CS4092 Special Topics in Computing			
University College Dublin	Dublin	Ireland	COMP30970 Competitive Programming			
University for Technology and Design | Harbour.Space Barcelona	Barcelona	Spain	CS213 Mobile Development			
University of Alabama at Birmingham	Birmingham, AL	US	CS 422L - Mobile App Development Lab			
University of Alaska Fairbanks	Fairbanks, AK	US	CS331 Programming Languages 			
University of Alberta	Edmonton	Canada	EXSM 3956 - Mobile Development I			
University of Alicante	Alicante	Spain	Desarrollo de Software para Dispositivos Móviles			
University of Applied Sciences and Arts Northwestern Switzerland - Fachhochschule Nordwestschweiz FHNW	Brugg	Switzerland	Entwicklung mobiler Applikationen			
University of Arkansas	Fayetteville, AR	US	CSCE 4623 – Mobile Programming			
University of Auvergne - Clermont	Clermont-Ferrand	France	Licence professionnelle Métiers de l'informatique : conception, développement et test de logiciels			
University of Bayreuth	Bayreuth	Germany	INF 225: Advanced Software Engineering 			
University of Belgrade	Belgrade	Serbia	Programming Languages			
